operation,operand1,operand2,result,timestamp
Percent,3,9,33.33333333333333333333333333,2025-10-25T01:22:08.300563
Modulus,4,3,1,2025-10-25T01:32:03.253896
Addition,4,3,7,2025-10-25T01:36:29.909606
Subtraction,3,4,-1,2025-10-25T01:36:34.960542
Power,3,3,27,2025-10-25T01:36:40.327593
Root,2,4,1.1892071150027210268973476559040136635303497314453125,2025-10-25T01:36:48.386928
Division,4,2,2,2025-10-25T01:37:00.479578
AbsoluteDifference,4,3,1,2025-10-25T01:46:03.213373
Int_Division,3,2,1,2025-10-25T01:46:56.387310
Modulus,4,3,1,2025-10-25T01:56:18.378218
